t_stamp,Tapp_plus2,Tapp,Tapp_prev1,PCI_3,PCI_4,PCI_5,HOD_2,HOD_3,HOD_4,COD_2,COD_3,COD_4,SGR610,BFR_1,BFR_2,CKR610,HL_1,HL_2,HL_3,BTemp_2,BTemp_3,HODm3,PCIm3,BMoist_1,BMoist_2,Time_Since_Tap_Open
2016-10-30 02:26:00,1451.706283,1464.9,1458.544444,2.34,1.14,1.75,492.9,724.15,410.63,492.9,724.15,410.63,60465,-895.8,3632,73130.9,3333,-98.09,-4170.77,0.82,-0.2,5901.813137,47.68547997,-0.7,-0.94,11
2016-10-30 05:37:00,1462.389796,1443.9,1450.496859,1.48,1.46,3.33,355.75,936.46,996.4,355.75,936.46,996.4,60135.3,-1068.9,2565.6,72934.3,529.5,1977.63,-8040.52,0.56,1.22,6675.383234,49.80852496,-0.89,-1.07,82
2016-10-30 08:53:00,1466.9,1474.1,1464.855102,0.03,0.56,0.89,-192.72,25.53,484.875,-192.72,25.53,484.875,60063.9,-3958.95,-3236.55,73000.2,3221.31,1916.04,-8115.9,1.11,-0.51,7677.146159,51.77128968,-0.02,0.86,83
2016-10-30 12:08:00,1473.301961,1462.4,1466,-0.3,-0.42,-0.53,313.62,35.105,-3.665,313.62,35.105,-3.665,59629.7,7064.05,3058.7,73045.4,-527.26,-1060.69,-4163.9,-0.77,0.965,7782.849889,51.86677226,-0.08,0.285,88
2016-10-30 14:41:00,1475.645455,1476.3,1470.84902,-1.24,-0.51,-1.04,-537.425,-344.4,-301.025,-537.425,-344.4,-301.025,59304.6,-3086.25,-6033.15,73196.9,6780.22,9119.8,2965.29,1.31,0.435,7634.164635,51.20666188,0.22,-0.56,61
2016-10-30 17:26:00,1483.354286,1475.4,1475.727273,-0.04,-0.58,-0.77,-253.41,-303.95,-210.69,-253.41,-303.95,-210.69,59535.5,934.3,-234.6,73044.4,-1538.61,-69.03,7650.22,-1.14,-0.38,7529.281101,50.76765209,0.53,0.92,76
2016-10-30 20:21:00,1466.245902,1487,1483.022857,0.79,1.15,0.74,575.58,422.68,535.79,575.58,422.68,535.79,59996.3,1524,5668.25,72626.4,-1618.26,1636.02,6032.86,-1.52,-0.23,7457.766242,50.74888579,-0.26,-0.41,71
2016-10-30 22:23:00,1478.948544,1465.9,1476.277049,0.59,1.37,1.13,1.17,60.44,523.46,1.17,60.44,523.46,60260.4,1710.3,2110.7,72614.7,-3025.81,7761.62,6731.73,1.67,0.68,7888.305917,51.08728717,-0.15,-0.25,53
2016-10-31 01:49:00,1464.202439,1488.3,1481.775728,0.1,0.32,0.46,-1757.485,-1.71,-158.3,-1757.485,-1.71,-158.3,60440.3,-1910.85,-3005.45,72589.9,-5773.67,-6509.62,-8182.27,0.165,0.48,7982.396309,51.97627394,9.76996E-15,0.03,79
2016-10-31 03:52:00,1483.740351,1463.6,1475.64878,-0.39,-0.63,-0.32,-103.185,-175.675,-1968.13,-103.185,-175.675,-1968.13,60486.7,-392.7,-1632.3,72648.5,-2221.05,646.43,-3675.59,-1.01,0.71,8332.02183,52.50514464,0.12,0.2,52
2016-10-31 06:43:00,1474.083133,1492.3,1482.229825,0.94,1,0.58,879.25,893.27,929.19,879.25,893.27,929.19,60674,2263.3,4655,72618.8,-10510.03,7980.79,189.45,1.02,-0.21,7740.188722,51.72147593,6.21725E-15,-0.14,78
2016-10-31 09:29:00,1487.419018,1467.1,1476.208434,-0.63,-0.29,-0.5,822.545,562.36,1155.565,822.545,562.36,1155.565,61077.9,314.2,-2731.15,72524.4,14410.91,24268.18,22147.1,0.48,0.745,8266.431539,52.33372596,0.04,0.105,84
2016-10-31 12:12:00,1485.717964,1494.7,1484.540491,0.09,-0.54,-1.51,78.79,141.545,1140.07,78.79,141.545,1140.07,61505.9,2900.4,-1004.95,72418.5,-4857.76,-12646.44,-25753.86,-2.07,-0.7,8677.37233,51.42189885,0.02,0.2,72
2016-10-31 14:59:00,1490.2,1482.2,1486.691018,1.87,1.92,1.46,982.115,645.115,835.09,982.115,645.115,835.09,61678.1,6535.6,12879.7,72576.2,-22182.73,1888.7,-11023.43,-0.09,-1.03,8784.313885,50.90444563,0.15,0.19,74
2016-10-31 17:11:00,1463.888889,1491,1487,1.74,2.62,1.79,27.285,386.74,645.495,27.285,386.74,645.495,60995,11934.1,-3195.55,71963.2,9514.73,21177.46,3718.59,0.405,0.9,9015.857111,51.8269831,0.105,0.42,66
2016-10-31 19:26:00,1467.916667,1460.5,1474.055556,7.12,1.22,1.16,604.99,2026,250.83,604.99,2026,250.83,59685.3,450.05,2060.55,71153.2,3032.07,1174.39,10638.68,1.82,-0.435,8049.765412,48.95786073,0.16,0.02,71
2016-10-31 21:50:00,1466.746154,1469.4,1465.691667,1.56,1.38,5.66,-195.74,548.31,497.705,-195.74,548.31,497.705,59107.7,-110.3,-1981.75,71093.9,607.82,-16928.43,-12430.89,-0.575,0.86,8958.717122,52.09657077,-0.12,-0.28,50
2016-11-01 01:18:00,1477.038806,1464.8,1466.126923,-0.39,0.05,-0.1,64.7,146.49,256.855,64.7,146.49,256.855,58479.6,-3506.65,-1326.6,71028.7,-789.46,-7838.9,-4265.42,1.73,0.72,9417.309168,53.27377954,-0.16,-0.24,83
2016-11-01 04:39:00,1484.46,1485.3,1479.180597,0.95,-0.5,0.4,317.46,377.15,-42.12,317.46,377.15,-42.12,58416.2,-1997.95,203.55,71128.7,11696.71,14119.12,2503.67,-1,0.385,9602.208041,52.92794779,-0.73,-1.04,74
2016-11-01 07:59:00,1505.531579,1483.9,1484.32,-4.6,-4.59,-4.83,-1353.465,-1793.57,-1853.41,-1353.465,-1793.57,-1853.41,58564.1,-4071.5,-16799.5,71002.1,-18916.48,11411.77,-3899.17,1.155,1.07,9522.973687,53.04222246,0.25,0.11,74
2016-11-01 10:31:00,1505.028643,1511.3,1500.484211,-2.21,-5.21,-5.66,-178.43,-307.15,-1247.82,-178.43,-307.15,-1247.82,58494.1,-3681.45,559.4,71045,-23216.37,-230.97,-5073.72,0.32,-0.38,7990.511559,48.82161005,0.385,1.23,76
2016-11-01 13:50:00,1499.818033,1500.9,1504.035678,0.17,-1.87,-1.22,-126.965,177.76,-221.98,-126.965,177.76,-221.98,59063.8,-283.95,-7457,71052.1,8021.65,-17536.36,-12909.08,-0.15,0.88,7471.850337,46.62776013,0.61,0.37,80
2016-11-01 15:52:00,1498.479426,1499.8,1500.340984,0.32,-1.26,0.58,-1011.01,-911.57,-1211.915,-1011.01,-911.57,-1211.915,59682.6,-2703.2,-394.9,71045.2,17108.51,16120.65,22948.11,-0.775,0.26,7580.187387,46.79869855,-4.51,-0.01,42
2016-11-01 19:21:00,1497.942396,1497.5,1498.160287,-5.24,-5.86,-5.05,-573.29,-1186.2,-2650.73,-573.29,-1186.2,-2650.73,58048.9,-769.7,-1183.3,71064.1,1555.22,8459.86,9443,0.05,0.15,5992.455254,45.34431538,2.71,2.87,101
2016-11-01 22:58:00,1488.683562,1498.3,1498.078802,3.88,3.06,2.84,1328.14,2238.81,2137.55,1328.14,2238.81,2137.55,58083.1,6941,16889,71146.4,-22956.53,1301.07,3509.99,-1.27,-0.42,5090.037652,41.57574941,0.12,-0.92,88
2016-11-02 01:24:00,1488.653476,1486.6,1491.408219,-1.66,0.44,2.59,403.24,-725.81,556.57,403.24,-725.81,556.57,57853.6,3026.65,505.85,71073.7,-7982.04,8297.41,-5199.97,1.305,0.3,7452.73626,45.05208302,0.17,0.19,64
2016-11-02 04:31:00,1482.733333,1489.8,1488.773262,0.58,1.1,0.86,-114.69,-302.75,39.66,-114.69,-302.75,39.66,56216.5,3984.5,5849.9,71001.8,-50367.06,-16874.16,-10753.23,1.12,0.455,7257.929939,43.70985202,0.22,0.7,86
2016-11-02 07:31:00,1487.63038,1479.2,1482.733333,1.89,2.72,3.12,286.87,176.51,-40.77,286.87,176.51,-40.77,55541.8,-214.1,11655.9,70990,-17228.48,-10669.03,-6208.83,-0.155,-0.115,7328.50964,44.26354159,0.15,0.13,81
2016-11-02 10:09:00,1486.072727,1490.3,1486.08481,-0.26,1.52,2.16,-33.56,-108.225,71.46,-33.56,-108.225,71.46,55286.5,-497.4,241.5,70945.4,-840.15,22928.35,15994.54,0.105,-0.925,7344.09047,46.43187079,-0.52,-1.04,79
2016-11-02 13:05:00,1487.6,1484.1,1486.213636,0.31,0.26,0.47,780.15,516.01,458.285,780.15,516.01,458.285,54998.7,1102.9,3950.55,70779.2,14024.89,16154.19,5536.33,-1.085,-0.735,7086.095702,46.24773336,-0.17,-1.44,90
2016-11-02 15:53:00,1481.470588,1489,1487.25,1.62,1.3,1.68,758.57,734.51,705.585,758.57,734.51,705.585,54831.8,1316.3,2410.85,70552.2,3556.36,10881.2,8170.77,-0.27,1.62,7396.638619,46.37102731,-0.15,-0.425,83
2016-11-02 18:26:00,1475.721168,1479.4,1483.164706,2.73,3.66,4.23,226.905,476.63,1211.835,226.905,476.63,1211.835,54980.3,923.15,4002.05,69754.5,12583.06,15659.76,6076.61,0.67,0.21,7857.878864,48.03103823,0.23,-0.23,76
2016-11-02 20:43:00,1466.796273,1475.2,1477.039416,-2.26,-2.34,-0.16,-1579.99,-1265.755,-1491.37,-1579.99,-1265.755,-1491.37,55332.1,-14424.1,-15159.65,69384,203.78,-4178.74,-10463.39,0.2,-0.25,8434.910354,50.36178715,-0.175,0.24,73
2016-11-03 16:35:00,1471.42,1476.7,1469.8875,3.63,6.49,5.77,1602.54,394.43,790.17,1602.54,394.43,790.17,57546,6125.4,30305.8,72451.2,2030.44,-1048.8,-9279.77,0.74,-0.57,6699.065458,45.45649017,-0.47,-0.36,75
2016-11-03 19:05:00,1469.355921,1470.1,1472.74,-8.48,-6.09,-2.3,-693.21,-2989.72,-2331.415,-693.21,-2989.72,-2331.415,58506.6,-7445.55,-4187.6,80154,-2611.98,1110.52,11897.61,0.11,-0.83,7106.638838,49.60197094,-0.33,0.585,80
2016-11-03 20:52:00,1473.931579,1468.8,1469.528972,-0.44,-7.36,-7.38,-372.69,-147.51,-2701.955,-372.69,-147.51,-2701.955,58653.8,4189.6,744.6,81713.1,1076.45,10316.56,6451.5,-1,-0.11,4866.884465,42.78249609,0.28,-0.19,57
2016-11-03 23:24:00,1479.5,1475.3,1472.734211,0.03,0.68,-0.01,71.005,11.405,169.335,71.005,11.405,169.335,58818.7,2435.2,1742.5,81663.4,-3254.16,1652.84,-19789.74,0.35,-1.005,4480.682104,42.62380237,0.17,0.14,69
2016-11-04 01:24:00,1470.159091,1479.5,1477.4,-0.06,-0.19,-0.44,-291.585,-310.57,-220.58,-291.585,-310.57,-220.58,58858.5,-3558.8,-2834.9,81627.2,-9392.86,1624.98,-1629.18,1.19,1.6,4487.418963,42.39957054,-0.27,-0.46,59
2016-11-04 04:20:00,1492.466667,1465.8,1470.470455,-1.68,-2.18,-1.88,-1218.91,-1040.235,-1245.405,-1218.91,-1040.235,-1245.405,60449,-1142.15,-6585,82112.3,16558.36,31076.76,25772.99,0.62,-1.495,4260.805596,42.51729344,0.69,0.27,95
2016-11-04 06:35:00,1476.857143,1495.8,1482.466667,-1.06,-1.49,-2.08,283.145,-2127.095,-2264.125,283.145,-2127.095,-2264.125,60127.8,1713.15,2007.3,81996.7,-3050.12,-22409.14,4986.17,-1.165,-0.555,4074.681705,41.5297124,-0.19,0.115,60
2016-11-04 08:55:00,1489.895804,1473.7,1483.171429,2.79,2.71,1.47,312.81,541.555,759.905,312.81,541.555,759.905,59285.7,8235.4,11215.25,81900.8,-6396.17,-8832.23,-18918.1,-0.585,-0.22,2023.190914,40.50943485,0.7,1.09,55
2016-11-04 11:18:00,1479.854348,1493,1484.902098,-0.07,0.72,1.47,-624.73,-216.01,-313.91,-624.73,-216.01,-313.91,59525.5,-3135.6,-5367.2,81859.7,3267.75,-6385.59,-4768.74,0.085,-0.72,2299.301237,42.25955555,2.78,2.325,53
2016-11-04 12:48:00,1504.017391,1471.8,1485.933333,-0.96,-1.13,0.81,49.46,-186.87,-488.6,49.46,-186.87,-488.6,59615.6,-4641.1,479.2,81833.2,-718.35,3242.61,4070.73,-1.9,-1.31,2292.200313,42.88485098,0.39,0.64,43
2016-11-04 15:52:00,1495.862069,1521.2,1505.091304,-0.06,-0.81,-0.15,1219.46,1141.32,1004.81,1219.46,1141.32,1004.81,59764.3,5094.4,7358.7,81873.8,1012.99,-1918.3,5218.31,-0.6,0.52,2007.30124,42.2025668,0.25,0.34,67
2016-11-04 17:28:00,1508.110345,1492.8,1510.55,-0.87,-0.66,-1.43,-230.65,-25.14,708.36,-230.65,-25.14,708.36,59672.3,-1523.2,-6228,81881.7,3281.81,-15.5,5177.71,0.4,-0.14,2532.682536,42.02430411,1.76,1.24,48
2016-11-04 19:53:00,1514.626733,1511.3,1503.644828,-1.02,-1.79,-1.69,23.69,-1160.74,-1291.83,23.69,-1160.74,-1291.83,59517.6,2222.3,3495.9,81808.6,-5173.5,-2600.78,-5480.3,0.18,-1.37,2961.860437,41.20010831,0.31,0.36,78
2016-11-05 00:56:00,1511.313636,1519.7,1518.036634,-0.35,-0.84,-1.61,1266.41,1399.47,1351.67,1266.41,1399.47,1351.67,59288.5,1981.8,3010.4,81449.3,-2455.61,3732.38,5671.37,0.5,0.31,1786.908711,38.81587045,0.19,-0.36,111
2016-11-05 03:52:00,1497.5,1507.4,1511.593182,-2.02,-1.62,-1.76,4.16,-106.14,-38.99,4.16,-106.14,-38.99,58920.7,-647.7,419.7,80742,1260.85,861.07,-5703.06,0.71,0.57,3176.510747,38.4412906,-0.44,0.17,102
2016-11-05 05:25:00,1489.233333,1499.9,1504.73871,-2.29,-2.3,-2.69,-184.07,-201.53,-187.58,-184.07,-201.53,-187.58,58669.2,-2286.3,-5221.1,80636.7,2591.26,-748.79,1778.13,-1.33,-0.41,3100.204213,38.07667514,0.47,0.71,40
2016-11-05 08:25:00,1514.019205,1483.9,1489.233333,-1.15,-1.51,-1.9,308.9,475.25,406.34,308.9,475.25,406.34,58491.3,4734.2,8878.1,80703.4,3999.59,4721.37,5829.15,-19.91,-20.34,3674.160089,31.4757785,-0.06,-0.6,65
2016-11-05 10:56:00,1512.867265,1521.8,1506.740397,-1.11,-0.16,7.44,-602.47,-67.51,-284.67,-602.47,-67.51,-284.67,58970.4,-2202.8,-6675.8,80683.6,2439.81,-3499.8,-1887.48,0.75,-24.26,3112.838396,35.33509345,-1.19,1.21,41
2016-11-05 14:39:00,1491.459542,1505.2,1509.666368,1.16,1.05,0.12,-45.63,-583.73,-783.94,-45.63,-583.73,-783.94,59656.4,2460.4,-769.9,80658.4,714.17,6577.69,2717.96,1.59,-0.11,3035.678521,34.7075749,-0.16,0.02,74
2016-11-05 16:50:00,1468.02069,1490.2,1497.070229,2,5.6,2.24,-370.22,-125.82,208.04,-370.22,-125.82,208.04,59689.6,3150.1,-605.8,80485.5,-9016.57,-9425.27,-21108.87,1.53,0.83,2012.521514,31.48853103,0.05,-0.39,90
2016-11-05 19:15:00,1462.53253,1463.4,1474.489655,1.74,3.73,4.32,45.14,-134.75,-268.53,45.14,-134.75,-268.53,59550.6,839.9,8275.7,79952.9,-5797.21,-11748.09,-12529.47,0.52,-1.08,1924.436274,37.11831845,0.01,-0.21,90
